plant_common_name,plant_family,plant_scientific_name
Donner Woodrush,Juncaceae,Luzula subcongesta (S. Watson) Jeps.
Mathis' Spiderling,Nyctaginaceae,Boerhavia mathisiana F.B. Jones
Common Tarweed,Asteraceae,Centromadia pungens (Hook. & Arn.) Greene ssp. maritima (Greene) B.G. Baldw.
Western Dock,Polygonaceae,Rumex aquaticus L.
Arizona Needle Grama,Poaceae,Bouteloua aristidoides (Kunth) Griseb. var. arizonica M.E. Jones
San Carlos Buckwheat,Polygonaceae,Eriogonum capillare Small
Pale Evening Primrose,Onagraceae,Oenothera pallida Lindl. ssp. runcinata (Engelm.) Munz & W. Klein
Ocellularia Lichen,Thelotremataceae,Ocellularia stictidea (Nyl.) Vezda
Tamalpais Oak,Fagaceae,Quercus parvula Greene var. tamalpaisensis S.K. Langer
Japanese Walnut,Juglandaceae,Juglans ailantifolia Carrière
Netted Shrubverbena,Verbenaceae,Lantana reticulata Pers.
Norwegian Draba,Brassicaceae,Draba norvegica Gunnerus
Jelly Lichen,Collemataceae,Collema leptaleum Tuck.
Pine Hyacinth,Ranunculaceae,Clematis baldwinii Torr. & A. Gray var. latiuscula R.W. Long
Scarlet Runner,Fabaceae,Phaseolus coccineus L.
Tiny Orchid,Orchidaceae,Lepanthopsis melanantha (Rchb. f.) Ames
Grahm's Columbine,Ranunculaceae,Aquilegia grahamii S.L. Welsh & Goodrich
Singleflower Knapweed,Asteraceae,Centaurea uniflora Turra ssp. nervosa (Willd.) Bonnier & Layens
Smooth Bogrush,Cyperaceae,Schoenus apogon Roem. & Schult.
Amur Peppervine,Vitaceae,Ampelopsis brevipedunculata (Maxim.) Trautv.
Walker Pass Milkvetch,Fabaceae,Astragalus ertterae Barneby & Shevock
Coulter's Lyrepod,Brassicaceae,Lyrocarpa coulteri Hook. & Harv. ex Harv. var. coulteri
Bulletwood,Sapotaceae,Manilkara bidentata (A. DC.) A. Chev
Snake River Phlox,Polemoniaceae,Phlox colubrina Wherry & Constance
Missouri Goldenrod,Asteraceae,Solidago missouriensis Nutt.
Cock's Spur,Fabaceae,Erythrina eggersii Krukoff & Moldenke
Northwestern Thelypody,Brassicaceae,Thelypodium paniculatum A. Nelson
Creeping Navelwort,Boraginaceae,Omphalodes verna Moench
Siberian Oatgrass,Poaceae,Trisetum sibiricum Rupr.
Swamp Rose,Rosaceae,Rosa palustris Marshall
Downy Arrowwood,Caprifoliaceae,Viburnum rafinesqueanum Schult.
Brewer's Rockcress,Brassicaceae,Arabis breweri S. Watson var. breweri
Spotted Water Hemlock,Apiaceae,Cicuta maculata L. var. maculata
Hairy Horsebrush,Asteraceae,Tetradymia comosa A. Gray
Shadowy Goldenrod,Asteraceae,Solidago sciaphila Steele
Giant Taro,Araceae,Alocasia macrorrhizos (L.) G. Don
Harbison's Hawthorn,Rosaceae,Crataegus harbisonii Beadle
Fringed Brome,Poaceae,Bromus ciliatus L. var. ciliatus
Peruvian Primrose-willow,Onagraceae,Ludwigia peruviana (L.) H. Hara
Pachyphiale Lichen,Gyalectaceae,Pachyphiale fagicola (Hepp) Zwackh
Michaux's Milkweed,Asclepiadaceae,Asclepias michauxii Decne.
Niihau Lobelia,Campanulaceae,Lobelia niihauensis H. St. John
Mexican Blazing Star,Asteraceae,Liatris punctata Hook. var. mexicana Gaiser
Wreath Lichen,Physciaceae,Phaeophyscia nigricans (Flörke) Moberg
Parish's Slender Meadowfoam,Limnanthaceae,Limnanthes gracilis Howell ssp. parishii (Jeps.) R.M. Beauch.
Pale Mexican Pricklypoppy,Papaveraceae,Argemone ochroleuca Sweet
Leciophysma Lichen,Collemataceae,Leciophysma furfurascens (Nyl.) Gyel.
Aralia,Araliaceae,Polyscias J.R. Forst. & G. Forst.
Aloha Fescue,Poaceae,"Festuca aloha Catalán, Soreng, & P.M. Peterson"
American Umbrellaleaf,Berberidaceae,Diphylleia cymosa Michx.
Dot Lichen,Micareaceae,Micarea misella (Nyl.) Hedl.
Lemmon's Mustard,Brassicaceae,Caulanthus anceps Payson
Leach Orchid,Orchidaceae,Stelis Sw.
Prairie Spiderwort,Commelinaceae,Tradescantia occidentalis (Britton) Smyth var. melanthera MacRoberts
Treecotton,Malvaceae,Kokia Lewt.
Catalina Island Mountain Mahogany,Rosaceae,Cercocarpus traskiae Eastw.
Uinta Basin Beardtongue,Scrophulariaceae,Penstemon grahamii D.D. Keck
Coccoloba,Polygonaceae,Coccoloba P. Br.
'akoko,Euphorbiaceae,Chamaesyce arnottiana (Endl.) O. Deg. & I. Deg.
Calliergon Moss,Amblystegiaceae,Calliergon obtusifolium Karcz.
Coastal Cosmopolitan Bulrush,Cyperaceae,Bolboschoenus maritimus (L.) Palla ssp. maritimus
Broom Teatree,Myrtaceae,Leptospermum scoparium J.R. Forst. & G. Forst.
Rotund Boesenbergia,Zingiberaceae,Boesenbergia rotunda (L.) Mansf.
Malme's Chiodecton Lichen,Opegraphaceae,Chiodecton malmei Thor
Diamond-flowers,Rubiaceae,Stenaria Raf. ex Steud.
Poison Devil's-pepper,Apocynaceae,Rauvolfia vomitoria Afzelius
Alpine Schadonia Lichen,Bacidiaceae,Schadonia alpina Körb.
Velvet Groundsel,Asteraceae,Roldana petasitis (Sims) H. Rob. & Brettell
European Globeflower,Ranunculaceae,Trollius europeus L.
Coastal Sandalwood,Santalaceae,Santalum ellipticum Gaudich.
Spring Lessingia,Asteraceae,Lessingia tenuis (A. Gray) Coville
Arizona Rosewood,Rosaceae,Vauquelinia californica (Torr.) Sarg.
Sphagnum Dewberry,Rosaceae,Rubus signatus L.H. Bailey
Basalt Springparsley,Apiaceae,Cymopterus basalticus M.E. Jones
St. Thomas Lidpod,Convolvulaceae,Operculina turpethum (L.) Silva Manso var. ventricosa (Bertero) Austin & Staples
Old World Adderstongue,Ophioglossaceae,Ophioglossum pendulum L.
Parish's Nightshade,Solanaceae,Solanum parishii A. Heller
Cordgrass,Poaceae,Spartina ×caespitosa A.A. Eaton (pro sp.)
Appalachian Oakfern,Dryopteridaceae,Gymnocarpium appalachianum Pryer
European Crab Apple,Rosaceae,Malus sylvestris (L.) Mill.
Desert Wishbone-bush,Nyctaginaceae,Mirabilis laevis (Benth.) Curran var. laevis
Crossidium Moss,Pottiaceae,Crossidium crassinerve (De Not.) Jur.
Yunnan Bauhinia,Fabaceae,Bauhinia yunnanensis Franch.
Gulf Searocket,Brassicaceae,Cakile geniculata (B.L. Rob.) Millsp.
Eggleaf Rosette Grass,Poaceae,Dichanthelium ovale (Elliott) Gould & C.A. Clark
Zapote De Costa,Sapotaceae,Manilkara pleeana (Pierre ex Baill.) Cronquist
Brook Crowngrass,Poaceae,Paspalum acuminatum Raddi
Pinyon Blazingstar,Loasaceae,Mentzelia eremophila (Jeps.) H.J. Thomp. & Roberts
Kapu Melicope,Rutaceae,Melicope radiata (H. St. John) T.G. Hartley & B.C. Stone
Sandmat,Euphorbiaceae,Chamaesyce pergamena (Small) Small
Leechleaf Delissea,Campanulaceae,Delissea undulata Gaudich.
Pop Saltbush,Chenopodiaceae,Atriplex spongiosa F. Muell.
Longspur Lupine,Fabaceae,Lupinus arbustus Douglas ex Lindl. ssp. arbustus var. montanus (Howell) D. Dunn
Fremont's Dalea,Fabaceae,Psorothamnus fremontii (Torr. ex A. Gray) Barneby var. attenuatus Barneby
Chinese White Olive,Burseraceae,Canarium album (Lour.) Rausch.
Jamaican Lellingeria,Grammitidaceae,Lellingeria suspensa (L.) A.R. Sm. & R.C. Moran
Hooded Coralroot,Orchidaceae,Corallorhiza striata Lindl. var. striata
Sacajawea Bitter Root,Portulacaceae,Lewisia sacajaweana B.L. Wilson & E. Rey-Vizg.
Honolulu Nehe,Asteraceae,Lipochaeta ovata R.C. Gardner
Spreading Phlox,Polemoniaceae,Phlox diffusa Benth.
Edible Milkpea,Fabaceae,Galactia marginalis Benth.
Wax Currant,Grossulariaceae,Ribes cereum Douglas
Graceful Necklace Fern,Dennstaedtiaceae,Lindsaea ensifolia Sw.
Downy Beach Pea,Fabaceae,Lathyrus japonicus Willd. var. pubescens Hartm.
Wright's Bedstraw,Rubiaceae,Galium wrightii A. Gray
Limestone Bedstraw,Rubiaceae,Galium proliferum A. Gray
Cottontop Cactus,Cactaceae,Echinocactus polycephalus Engelm. & J.M. Bigelow var. xeranthemoides J.M. Coult.
Hilend's Bedstraw,Rubiaceae,Galium hilendiae Dempster & Ehrend. ssp. hilendiae
Mountain Magnolia,Magnoliaceae,Magnolia fraseri Walter
Perennial Blazingstar,Loasaceae,Mentzelia perennis Wooton
Floerkea,Limnanthaceae,Floerkea Willd.
Smallhead Tetramolopium,Asteraceae,Tetramolopium conyzoides (A. Gray) Hillebr.
Lepanthopsis,Orchidaceae,Lepanthopsis Ames
Giant Antifever Fontinalis Moss,Fontinalaceae,Fontinalis antipyretica Hedw. var. gigantea (Sull.) Sull.
Turpin's Sandmat,Euphorbiaceae,Chamaesyce turpinii (Boiss.) Millsp.
Vegetable Hummingbird,Fabaceae,Sesbania grandiflora (L.) Poir.
Syrrhopodon Moss,Calymperaceae,Syrrhopodon Schwägr.
Roccella Lichen,Roccellaceae,Roccella DC.
Arizona Ragwort,Asteraceae,Senecio arizonicus Greene
Amberboa,Asteraceae,Amberboa (Pers.) Less.
Sonne's Arnica,Asteraceae,Arnica parryi A. Gray ssp. sonnei (Greene) Maguire
California Pleuridium Moss,Ditrichaceae,Pleuridium californicum Grout
Egyptian Carissa,Apocynaceae,Carissa edulis (Forssk.) Vahl [excluded]
Cutleaf Grapefern,Ophioglossaceae,Botrychium dissectum Spreng.
Rockface Yellow Loosestrife,Primulaceae,Lysimachia remyi Hillebr.
Hartweg's Sundrops,Onagraceae,Calylophus hartwegii (Benth.) P.H. Raven ssp. fendleri (A. Gray) Towner & P.H. Raven
California Cloak Fern,Pteridaceae,Notholaena californica D.C. Eaton
Hairy Yerba Santa,Hydrophyllaceae,Eriodictyon trichocalyx A. Heller var. lanatum (Brand) Jeps.
Redwood,Cupressaceae,Sequoia Endl.
Chestnut Scale Spleenwort,Aspleniaceae,Asplenium cirrhatum Rich. ex Willd.
Western Purple Cranesbill,Geraniaceae,Geranium atropurpureum A. Heller
Plantain False Leopardbane,Asteraceae,Doronicum plantagineum L.
Yerba De Faja,Asteraceae,Struchium sparganophorum (L.) Kuntze
Spanish Fennel,Ranunculaceae,Nigella hispanica L.
Chinese Albizia,Fabaceae,Albizia chinensis (Osbeck) Merr.
Turnera,Turneraceae,Turnera L.
Smallflower Miterwort,Saxifragaceae,Mitella stauropetala Piper
Swamp Loosestrife,Lythraceae,Decodon verticillatus (L.) Elliott
Egyptian Panicgrass,Poaceae,Paspalidium geminatum (Forssk.) Stapf var. geminatum
False Seaonion,Liliaceae,Ornithogalum caudatum Aiton
Piscidia,Fabaceae,Piscidia L.
Baldwin's Nutrush,Cyperaceae,Scleria baldwinii (Torr.) Steud.
Hybrid Violet,Violaceae,Viola ×cooperrideri H.E. Ballard
Golden Asahinea Lichen,Parmeliaceae,Asahinea chrysantha (Tuck.) W.L. Culb. & C.F. Culb.
Koolau Range Cheesewood,Pittosporaceae,Pittosporum glabrum Hook. & Arn.
Running Rockcress,Brassicaceae,"Arabis procurrens Waldst. & Kit., nom. inq."
Lanceleaf Blanketflower,Asteraceae,Gaillardia aestivalis (Walter) H. Rock var. flavovirens (C. Mohr) Cronquist
San Jacinto Beardtongue,Scrophulariaceae,Penstemon clevelandii A. Gray ssp. connatus (Munz & I.M. Johnst.) D.D. Keck
Cartilage Lichen,Ramalinaceae,Ramalina Ach.
Hartweg's Alumroot,Saxifragaceae,Heuchera micrantha Douglas ex Lindl. var. hartwegii (S. Watson ex Wheelock) Rosend.
Conch Apple,Passifloraceae,Passiflora maliformis L.
Mustard,Brassicaceae,Sinapis L.
Marshall's Saxifrage,Saxifragaceae,Saxifraga marshallii Greene
Treetrunk Cyanea,Campanulaceae,Cyanea copelandii Rock
Marumleaf Buckwheat,Polygonaceae,Eriogonum marifolium Torr. & A. Gray
Western Brackenfern,Dennstaedtiaceae,Pteridium aquilinum (L.) Kuhn
Herzogiella Moss,Hypnaceae,Herzogiella Broth.
Tetraclea,Verbenaceae,Tetraclea A. Gray
Orange Lichen,Teloschistaceae,Caloplaca trachyphylla (Tuck.) Zahlbr.
Coast Range Mule-ears,Asteraceae,Wyethia glabra A. Gray
Waianae Range Wild Coffee,Rubiaceae,Psychotria hathewayi Fosberg
Proatriplex,Chenopodiaceae,Proatriplex (W.A. Weber) Stutz & G.L. Chu
Warner Mountains Bedstraw,Rubiaceae,Galium serpenticum Dempster ssp. warnerense Dempster & Ehrend.
Sierra Brodiaea,Liliaceae,Brodiaea minor (Benth.) S. Watson
Allicoche Hedgehog Cactus,Cactaceae,Echinocereus papillosus Linke ex Rümpler var. angusticeps (Clover) W.T. Marshall
Greene's Rabbitbrush,Asteraceae,Chrysothamnus greenei (A. Gray) Greene
Monarch Of The Veld,Asteraceae,Venidium fastuosum (Jacq.) Stapf
Rockbrake,Pteridaceae,Cryptogramma R. Br.
Hamilton's Spindletree,Celastraceae,Euonymus hamiltonianus Wall. ssp. maackii (Rupr.) Kom.
Lilac Tasselflower,Asteraceae,Emilia sonchifolia (L.) DC. var. javanica (Burm. f.) Mattf.
Cyrtandra,Gesneriaceae,Cyrtandra ×atomigyna H. St. John & Storey (pro sp.)
Fuchsia Begonia,Begoniaceae,Begonia foliosa Kunth var. miniata (Planch.) L.B. Sm. & B.G. Schub.
Coneflower,Asteraceae,Rudbeckia L.
Mingan Moonwort,Ophioglossaceae,Botrychium minganense Victorin
Awalua Ridge Tetramolopium,Asteraceae,Tetramolopium remyi (A. Gray) Hillebr.
Texas Bluestar,Apocynaceae,Amsonia ciliata Walter var. texana (A. Gray) J.M. Coult.
Yucca,Agavaceae,Yucca L.
Dixie Whitetop Aster,Asteraceae,Sericocarpus tortifolius (Michx.) Nees
Queen,Rosaceae,Filipendula Mill.
Coniogramme,Pteridaceae,Coniogramme Fée
Balloonbush,Scrophulariaceae,Epixiphium wislizeni (Engelm. ex A. Gray) Munz
Blue Mountain Biscuitroot,Apiaceae,Lomatium oreganum (J.M. Coult. & Rose) J.M. Coult. & Rose
Cushion Townsend Daisy,Asteraceae,Townsendia condensata Parry ex A. Gray var. anomala (Heiser) Dorn
Mata Buey,Solanaceae,Goetzea elegans Wydler
Prostrate Ceanothus,Rhamnaceae,Ceanothus prostratus Benth.
Racomitrium Moss,Grimmiaceae,Racomitrium canescens (Hedw.) Brid.
Roundseed Panicgrass,Poaceae,Dichanthelium sphaerocarpon (Elliott) Gould var. sphaerocarpon
Woolly Bluestar,Apocynaceae,Amsonia tomentosa Torr. & Frém. var. tomentosa
Great Plains Stickseed,Boraginaceae,Lappula cenchrusoides A. Nelson
Lobelia,Campanulaceae,Lobelia ×speciosa Sweet (pro sp.)
Dwarf Cinquefoil,Rosaceae,Potentilla canadensis L. var. villosissima Fernald
Macadamia Nut,Proteaceae,Macadamia tetraphylla L.A.S. Johnson
California Meadowfoam,Limnanthaceae,Limnanthes floccosa Howell ssp. californica Arroyo
Mealy Lichen,Uncertain Ascomycota Family,Leprocaulon albicans (Th. Fr.) Nyl. ex Hue
Emory's Baccharis,Asteraceae,Baccharis emoryi A. Gray
Holboell's Rockcress,Brassicaceae,Arabis holboellii Hornem.
Spinster's Blue Eyed Mary,Scrophulariaceae,Collinsia sparsiflora Fisch. & C.A. Mey. var. sparsiflora
Tube Lichen,Parmeliaceae,Hypogymnia austerodes (Nyl.) Rasanen
Usnea Lichenoconium Lichen,Uncertain Ascomycota Family,Lichenoconium usneae (Anzi) D. Hawksw.
Ribbon Fern,Polypodiaceae,Neurodium Fée
Hemlock Rosette Grass,Poaceae,Dichanthelium sabulorum (Lam.) Gould & C.A. Clark
Giant Ricegrass,Poaceae,Achnatherum coronatum (Thurb.) Barkworth
Calder's Bladderpod,Brassicaceae,Lesquerella calderi G. Mulligan & A.E. Porsild
Gunsight Clarkia,Onagraceae,Clarkia xantiana A. Gray
Brachythecium Moss,Brachytheciaceae,Brachythecium campestre (Müll. Hal.) Schimp.
Puerto Rico Clearweed,Urticaceae,Pilea leptophylla Urb.
Yewleaf Willow,Salicaceae,Salix taxifolia Kunth
Heller's Rosette Grass,Poaceae,Dichanthelium oligosanthes (Schult.) Gould var. oligosanthes
Pineland Skullcap,Lamiaceae,Scutellaria altamaha Small
Hall's Hawksbeard,Asteraceae,Crepis runcinata (James) Torr. & A. Gray ssp. hallii Babc. & Stebbins
Macromitrium Moss,Orthotrichaceae,Macromitrium Brid.
Krauss' Spikemoss,Selaginellaceae,Selaginella kraussiana (Kunze) A. Braun
Hybrid Violet,Violaceae,Viola ×consobrina House
Woodland Tribisee,Poaceae,Lasiacis sorghoidea (Desv. ex Ham.) Hitchc. & Chase
Pterygiopsis Lichen,Lichinaceae,Pterygiopsis atra Vain.
Adam And Eve,Orchidaceae,Aplectrum Torr.
Ophioparma Lichen,Ophioparmaceae,Ophioparma lapponica (Rasanen) Hafellner & R.W. Rogers
Krug's White Morning-glory,Convolvulaceae,Ipomoea krugii Urb.
Primrose,Primulaceae,Primula L.
Goldenrod,Asteraceae,Oreochrysum Rydb.
Amate,Moraceae,Ficus obtusifolia Kunth
Buttonbush,Rubiaceae,Cephalanthus L.
Barneby's Thistle,Asteraceae,Cirsium barnebyi S.L. Welsh & Neese
Orange Lichen,Teloschistaceae,Caloplaca epithallina Lynge
Trans-pecos Five Eyes,Solanaceae,Chamaesaracha villosa Rydb.
Caribbean Filmy Fern,Hymenophyllaceae,Hymenophyllum asplenioides (Sw.) Sw.
Hapu'u Li,Dicksoniaceae,Cibotium menziesii Hook.
Cockleshell Lichen,Lecideaceae,Hypocenomyce sorophora (Vain.) P. James & Poelt
Purple Oniongrass,Poaceae,Melica spectabilis Scribn.
Fewleaf Sunflower,Asteraceae,Helianthus occidentalis Riddell ssp. occidentalis
Heartleaf Groundcherry,Solanaceae,Physalis cordata Mill.
Lamarck's Trema,Ulmaceae,Trema lamarckiana (Schult.) Blume
Conspicuous Reindeer Lichen,Cladoniaceae,Cladina conspicua Ahti
Rattlesnake Flower,Lamiaceae,Brazoria truncata (Benth.) Engelm. & A. Gray
Lisbon False Sun-rose,Cistaceae,Halimium lasianthum (Lam.) Spach
Common Woolly Sunflower,Asteraceae,Eriophyllum lanatum (Pursh) Forbes var. grandiflorum (A. Gray) Jeps.
Earth Lichen,Verrucariaceae,Catapyrenium acarosporoides (Zahlbr.) J.W. Thomson
Tall Yellow Sweetclover,Fabaceae,Melilotus altissimus Thuill.
Island Gooseberry,Grossulariaceae,Ribes viburnifolium A. Gray
'ena'ena,Asteraceae,Pseudognaphalium sandwicensium (Gaudich.) Anderb. var. kilaueanum (O. Deg. & Sherff) W.L. Wagner
False Goldenaster,Asteraceae,Heterotheca Cass.
Neckera Moss,Neckeraceae,Neckera Hedw.
Canyon Live Oak,Fagaceae,Quercus chrysolepis Liebm. var. chrysolepis
Lecidea Lichen,Lecideaceae,Lecidea carnulenta (Tuck.) Fink
Chilean Firebush,Proteaceae,Embothrium J.R. Forst. & G. Forst.
Paradise Nut,Lecythidaceae,Lecythis zabucajo Aubl.
Devil's Spineflower,Polygonaceae,Chorizanthe rigida (Torr.) Torr. & A. Gray
Wild Mint,Lamiaceae,Mentha arvensis L.
Southern Flax,Linaceae,Linum australe A. Heller var. glandulosum C.M. Rogers
Elegant Cinquefoil,Rosaceae,Potentilla concinna Richardson var. proxima (Rydb.) S.L. Welsh & B.C. Johnst.
Leucodon Moss,Leucodontaceae,Leucodon Schwägr.
Perplexed Chiodecton Lichen,Opegraphaceae,Chiodecton perplexum Nyl.
Lapland Reedgrass,Poaceae,Calamagrostis lapponica (Wahlenb.) Hartm.
Chaparral Sedge,Cyperaceae,Carex xerophila Janeway & Zika
Jerusalem Oak Goosefoot,Chenopodiaceae,Dysphania botrys (L.) Mosyakin & Clemants
Parathesis,Myrsinaceae,Parathesis (A. DC.) Hook. f.
West Indian False Box,Celastraceae,Gyminda latifolia (Sw.) Urb.
Cleveland's Ragwort,Asteraceae,Packera clevelandii (Greene) W.A. Weber & Á. Löve
Menodora,Oleaceae,Menodora Bonpl.
Hoary Bahia,Asteraceae,Bahia absinthifolia Benth. var. dealbata (A. Gray) A. Gray
Nechamandra,Hydrocharitaceae,Nechamandra alternifolia (Roxb.) Thw.
Black Raspberry,Rosaceae,Rubus occidentalis L.
Pimpernel Willowherb,Onagraceae,Epilobium anagallidifolium Lam.
California Bottlebrush Grass,Poaceae,Elymus californicus (Bol. ex Thurb.) Gould
Mertens' Sedge,Cyperaceae,Carex mertensii Prescott ex Bong.
Arkansas Dozedaisy,Asteraceae,Aphanostephus skirrhobasis (DC.) Trel. var. skirrhobasis
White Panicle Aster,Asteraceae,Symphyotrichum lanceolatum (Willd.) G.L. Nesom ssp. lanceolatum
Script Lichen,Graphidaceae,Graphis pavoniana Fée
Hippobroma,Campanulaceae,Hippobroma G. Don
Ephemerum Moss,Ephemeraceae,Ephemerum spinulosum Bruch & Schimp.
Angelica,Apiaceae,Angelica L.
Mousetail,Ranunculaceae,Myosurus L.
Three-way Sedge,Cyperaceae,Dulichium arundinaceum (L.) Britton var. boreale Lepage
Mountain Indian Paintbrush,Scrophulariaceae,Castilleja parviflora Bong.
Mountain Draba,Brassicaceae,Draba rectifructa C.L. Hitchc.
Arizona Boxelder,Aceraceae,Acer negundo L. var. arizonicum Sarg.
Stebbins' Tarweed,Asteraceae,Harmonia stebbinsii (T.W. Nelson & J.P. Nelson) B.G. Baldw.
Dooryard Dock,Polygonaceae,Rumex longifolius DC.
Shorthusk,Poaceae,Brachyelytrum P. Beauv.
Redwool Plantain,Plantaginaceae,Plantago eriopoda Torr.
Halfmoon Milkvetch,Fabaceae,Astragalus wootonii Sheldon
Amargosa Niterwort,Chenopodiaceae,Nitrophila mohavensis Munz & Roos
Sharpleaf Penstemon,Scrophulariaceae,Penstemon acuminatus Douglas ex Lindl. var. acuminatus
Palmer's Mariposa Lily,Liliaceae,Calochortus palmeri S. Watson var. palmeri
Wild Tantan,Fabaceae,Desmanthus acuminatus Benth.
Nits And Lice,Clusiaceae,Hypericum drummondii (Grev. & Hook.) Torr. & A. Gray
California Fairypoppy,Papaveraceae,Meconella californica Torr. & Frém.
Drug Fumitory,Fumariaceae,Fumaria officinalis L.
Rose Rockcress,Brassicaceae,Arabis blepharophylla Hook. & Arn.
Angularfruit Ma'oloa,Urticaceae,Neraudia angulata Cowan var. dentata O. Deg. & Cowan
Spleenwort,Aspleniaceae,Asplenium ×flagrum W.H. Wagner & D.D. Palmer
Lavender Sage,Lamiaceae,Salvia greatae Brandegee
Horsehair Lichen,Parmeliaceae,Bryoria trichodes (Michx.) Brodo & D. Hawksw.
Prickly Cryptantha,Boraginaceae,Cryptantha echinella Greene
Hairy Schiedea,Caryophyllaceae,Schiedea pubescens Hillebr. var. pubescens
Velvet Panicum,Poaceae,Dichanthelium scoparium (Lam.) Gould
Konocti Manzanita,Ericaceae,Arctostaphylos manzanita Parry ssp. elegans (Eastw.) P.V. Wells
Yellow Aster,Asteraceae,Eastwoodia elegans Brandegee
Xylographa Lichen,Agyriaceae,Xylographa hians Tuck.
Fragrant Popcornflower,Boraginaceae,Plagiobothrys figuratus (Piper) I.M. Johnst. ex M. Peck
Darkbrown Sedge,Cyperaceae,Carex atrofusca Schkuhr var. atrofusca
Hummingbird Sage,Lamiaceae,Salvia spathacea Greene
Birch,Betulaceae,Betula ×jackii C.K. Schneid.
Strawberry Clover,Fabaceae,Trifolium fragiferum L.
Pinkfringe,Melastomataceae,Arthrostemma ciliatum Pav. ex D. Don
Havard's Evening Primrose,Onagraceae,Oenothera havardii S. Watson
Dot Lichen,Arthoniaceae,Arthonia arthonioides (Ach.) A.L. Sm.
New England Quillwort,Isoetaceae,Isoetes ×novae-angliae D.F. Brunt. & D.M. Britton
Sticky Nightshade,Solanaceae,Solanum sisymbriifolium Lam.
Vanclevea,Asteraceae,Vanclevea Greene
Alyce Clover,Fabaceae,Alysicarpus ovalifolius (Schumach.) J. Léonard
Manyflower Geranium,Geraniaceae,Geranium multiflorum A. Gray
Wart Lichen,Verrucariaceae,Verrucaria Schrad.
Rollinia,Annonaceae,Rollinia A. St.-Hil.
Creeping-oxeye,Asteraceae,Sphagneticola O. Hoffm.
Showy Chalicevine,Solanaceae,Solandra grandiflora Sw.
Haller's Campylium Moss,Amblystegiaceae,Campylium halleri (Hedw.) Lindb.
Parish's Fleabane,Asteraceae,Erigeron parishii A. Gray
Scrub Spurge,Euphorbiaceae,Euphorbia rosescens E.L.Bridges & Orzell
Fourpart Mistletoe,Viscaceae,Phoradendron tetrapterum Krug & Urb.
Keteleeria,Pinaceae,Keteleeria Carrière
Alpine Heuchera,Saxifragaceae,Heuchera glabra Willd. ex Roem. & Schult.
False Coffee,Rubiaceae,Faramea Aubl.
Willow Glowweed,Asteraceae,Hesperodoria salicina (S.F. Blake) G.L. Nesom
Hairy-lemma Barley,Poaceae,×Elyhordeum pilosilemma (Mitchell & Hodgson) Barkworth
Forked Spleenwort,Aspleniaceae,Asplenium septentrionale (L.) Hoffm.
Twinflower,Caprifoliaceae,Linnaea borealis L. ssp. americana (Forbes) Hultén ex R.T. Clausen
Red Huckleberry,Ericaceae,Vaccinium parvifolium Sm.
Arctic Catchfly,Caryophyllaceae,Silene involucrata (Cham. & Schltdl.) Bocquet ssp. involucrata
Dense Mountain Phlox,Polemoniaceae,Phlox austromontana Coville ssp. densa (Brand) Wherry
Dot Lichen,Arthoniaceae,Arthonia hamamelidis Nyl.
Common Cudweed,Asteraceae,Euchiton involucratus (G. Forst.) Holub
Cephalaria,Dipsacaceae,Cephalaria Schrad. ex Roem. & Schult.
Yarrow,Asteraceae,Achillea L.
Purple Pricklypear,Cactaceae,Opuntia macrocentra Engelm.
Arizona Blue-eyed Grass,Iridaceae,Sisyrinchium arizonicum Rothr.
Pacific Mistletoe,Viscaceae,Phoradendron villosum (Nutt.) Nutt.
Oahu Phyllostegia,Lamiaceae,Phyllostegia lantanoides Sherff
Forest Spleenwort,Aspleniaceae,Asplenium contiguum Kaulf.
Snake River Twinpod,Brassicaceae,Physaria integrifolia (Rollins) Lichvar var. monticola Lichvar
Hybrid Beardgrass,Poaceae,Bothriochloa hybrida (Gould) Gould
Wili Wili,Fabaceae,Erythrina sandwicensis O. Deg.
Wright's Deervetch,Fabaceae,Lotus wrightii (A. Gray) Greene
Tubercle Dot Lichen,Micareaceae,Micarea tuberculata (Sommerf.) R. Anderson
Blandow's Helodium Moss,Helodiaceae,"Helodium blandowii (F. Weber & D. Mohr) Warnst. var. helodioides (Renauld & Cardot) H.A. Crum, Steere & L.E. Anderson"
Early Wildrye,Poaceae,Elymus macgregorii R. Brooks & J.J.N. Campb.
Abrupttip Maiden Fern,Thelypteridaceae,Thelypteris augescens (Link) Munz & I.M. Johnst.
Anderson's Alkaligrass,Poaceae,Puccinellia andersonii Swallen
Snow Cinquefoil,Rosaceae,Potentilla nivea L. var. nivea
Bishopwood,Euphorbiaceae,Bischofia Blume
Heller's Cieneguillo,Thymelaeaceae,Daphnopsis helleriana Urb.
Ragged Nettlespurge,Euphorbiaceae,Jatropha macrorhiza Benth.
Slenderleaf Bundleflower,Fabaceae,Desmanthus leptophyllus Kunth
Fissidens Moss,Fissidentaceae,Fissidens hallianus (Sull. & Lesq.) Mitt.
Longtube Twinflower,Caprifoliaceae,Linnaea borealis L. ssp. longiflora (Torr.) Hultén
Yukon Wormwood,Asteraceae,Artemisia macrobotrys Ledeb.
Prettyface,Liliaceae,Triteleia ixioides (W.T. Aiton) Greene ssp. unifolia Lenz
Clubmoss,Lycopodiaceae,Lycopodium ×issleri (Rouy) Domin
